,Unnamed: 0,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,building_age,prop_type_1,prop_type_2,prop_type_3,prop_type_4,prop_type_5,prop_type_6,prop_type_7,PrimaryPropertyType_0,PrimaryPropertyType_1,PrimaryPropertyType_2,PrimaryPropertyType_3,PrimaryPropertyType_4,Neighborhood_0,Neighborhood_1,Neighborhood_2,Neighborhood_3,LargestPropertyUseType_0,LargestPropertyUseType_1,LargestPropertyUseType_2,LargestPropertyUseType_3,LargestPropertyUseType_4,LargestPropertyUseType_5,SecondLargestPropertyUseType_0,SecondLargestPropertyUseType_1,SecondLargestPropertyUseType_2,SecondLargestPropertyUseType_3,SecondLargestPropertyUseType_4,SecondLargestPropertyUseType_5,ThirdLargestPropertyUseType_0,ThirdLargestPropertyUseType_1,ThirdLargestPropertyUseType_2,ThirdLargestPropertyUseType_3,ThirdLargestPropertyUseType_4,ThirdLargestPropertyUseType_5,electricity_binary,natural_gas_binary,steam_binary,ENERGYSTARScore,TotalGHGEmissions,SiteEnergyUse(kBtu)
0,0,1,12,88434,0,88434,88434.0,0.0,0.0,89,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,60.0,249.98,7226362.5
1,1,1,11,103566,15064,88502,83880.0,15064.0,4622.0,20,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,61.0,295.86,8387933.0
2,2,1,10,61320,0,61320,61320.0,0.0,0.0,90,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,56.0,286.43,6794584.0
3,3,1,11,83008,0,83008,81352.0,0.0,0.0,90,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,27.0,176.14,5758795.0
4,4,1,8,102761,0,102761,102761.0,0.0,0.0,90,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,75.0,221.51,6298131.5
5,5,1,6,63712,1496,62216,56132.0,0.0,0.0,106,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1.0,151.12,4573777.0
6,6,1,9,65009,0,65009,65009.0,0.0,0.0,88,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,48.0,328.23,6596057.5
7,7,1,5,57452,0,57452,16442.0,15505.0,9741.0,109,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,75.0,273.02,7606084.5
8,8,1,6,88592,30586,58006,58006.0,30586.0,0.0,15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,84.0,90.01,3663534.5
9,9,1,2,67224,0,67224,67224.0,0.0,0.0,86,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,75.0,9.13,1310236.625
